State,County,Vegetable acres harvested for fresh market (% change) 2007 - 12 (PCH_FRESHVEG_ACRES_07_12),Units,FIPS,FID
Alabama,Autauga,0,% change,1001.0,5
Alabama,Baldwin,0,% change,1003.0,20
Alabama,Barbour,36.666666666666664,% change,1005.0,25
Alabama,Bibb,0,% change,1007.0,29
Alabama,Blount,12.564543889845096,% change,1009.0,33
Alabama,Bullock,0,% change,1011.0,37
Alabama,Butler,0,% change,1013.0,39
Alabama,Calhoun,0,% change,1015.0,43
Alabama,Chambers,0,% change,1017.0,47
Alabama,Cherokee,0,% change,1019.0,51
Alabama,Chilton,11.302211302211303,% change,1021.0,56
Alabama,Choctaw,13.461538461538462,% change,1023.0,58
Alabama,Clarke,0,% change,1025.0,61
Alabama,Clay,0,% change,1027.0,65
Alabama,Cleburne,0,% change,1029.0,67
Alabama,Coffee,0,% change,1031.0,70
Alabama,Colbert,0,% change,1033.0,73
Alabama,Conecuh,0,% change,1035.0,80
Alabama,Coosa,0,% change,1037.0,82
Alabama,Covington,44.73684210526316,% change,1039.0,88
Alabama,Crenshaw,0,% change,1041.0,90
Alabama,Cullman,0,% change,1043.0,98
Alabama,Dale,0,% change,1045.0,101
Alabama,Dallas,0,% change,1047.0,110
Alabama,DeKalb,0,% change,1049.0,112
Alabama,Elmore,0,% change,1051.0,118
Alabama,Escambia,0,% change,1053.0,122
Alabama,Etowah,-56.53021442495126,% change,1055.0,131
Alabama,Fayette,0,% change,1057.0,134
Alabama,Franklin,0,% change,1059.0,138
Alabama,Geneva,0,% change,1061.0,140
Alabama,Greene,0,% change,1063.0,148
Alabama,Hale,136.95652173913044,% change,1065.0,150
Alabama,Henry,-87.85714285714286,% change,1067.0,158
Alabama,Houston,0,% change,1069.0,160
Alabama,Jackson,0,% change,1071.0,164
Alabama,Jefferson,0,% change,1073.0,171
Alabama,Lamar,0,% change,1075.0,174
Alabama,Lauderdale,0,% change,1077.0,176
Alabama,Lawrence,0,% change,1079.0,181
Alabama,Lee,0,% change,1081.0,187
Alabama,Limestone,-61.13989637305699,% change,1083.0,197
Alabama,Lowndes,0,% change,1085.0,205
Alabama,Macon,0,% change,1087.0,210
Alabama,Madison,-42.94871794871795,% change,1089.0,217
Alabama,Marengo,0,% change,1091.0,220
Alabama,Marion,-40.0,% change,1093.0,224
Alabama,Marshall,-72.72727272727273,% change,1095.0,231
Alabama,Mobile,0,% change,1097.0,240
Alabama,Monroe,0,% change,1099.0,250
Alabama,Montgomery,0,% change,1101.0,256
Alabama,Morgan,0,% change,1103.0,262
Alabama,Perry,-27.927927927927925,% change,1105.0,264
Alabama,Pickens,0,% change,1107.0,273
Alabama,Pike,0,% change,1109.0,279
Alabama,Randolph,0,% change,1111.0,284
Alabama,Russell,0,% change,1113.0,288
Alabama,St. Clair,0,% change,1115.0,292
Alabama,Shelby,0,% change,1117.0,298
Alabama,Sumter,-36.79245283018868,% change,1119.0,303
Alabama,Talladega,36.36363636363637,% change,1121.0,306
Alabama,Tallapoosa,0,% change,1123.0,308
Alabama,Tuscaloosa,19.047619047619047,% change,1125.0,313
Alabama,Walker,0,% change,1127.0,317
Alabama,Washington,-51.578947368421055,% change,1129.0,319
Alabama,Wilcox,35.84905660377358,% change,1131.0,326
Alabama,Winston,-22.58064516129032,% change,1133.0,332
Alaska,Aleutians East,0,% change,2013.0,346
Alaska,Aleutians West,0,% change,2016.0,381
Alaska,Anchorage,0,% change,2020.0,400
Alaska,Bethel,0,% change,2050.0,411
Alaska,Bristol Bay,0,% change,2060.0,423
Alaska,Denali,0,% change,2068.0,426
Alaska,Dillingham,0,% change,2070.0,445
Alaska,Fairbanks North Star,0,% change,2090.0,454
Alaska,Haines,0,% change,2100.0,462
Alaska,Hoonah-Angoon,0,% change,2105.0,476
Alaska,Juneau,0,% change,2110.0,482
Alaska,Kenai Peninsula,0,% change,2122.0,494
Alaska,Ketchikan Gateway,0,% change,2130.0,514
Alaska,Kodiak Island,0,% change,2150.0,533
Alaska,Lake and Peninsula,0,% change,2164.0,544
Alaska,Matanuska-Susitna,0,% change,2170.0,556
Alaska,Nome,0,% change,2180.0,571
Alaska,North Slope,0,% change,2185.0,614
Alaska,Northwest Arctic,0,% change,2188.0,638
Alaska,Petersburg,0,% change,2195.0,645
Alaska,Prince of Wales-Hyder,0,% change,2198.0,669
Alaska,Sitka,0,% change,2220.0,679
Alaska,Skagway,0,% change,2230.0,683
Alaska,Southeast Fairbanks,0,% change,2240.0,690
Alaska,Valdez-Cordova,0,% change,2261.0,710
Alaska,Wade Hampton,0,% change,2270.0,725
Alaska,Wrangell,0,% change,2275.0,733
Alaska,Yakutat,0,% change,2282.0,744
Alaska,Yukon-Koyukuk,0,% change,2290.0,753
Arizona,Apache,-43.535146228835295,% change,4001.0,761
Arizona,Cochise,0,% change,4003.0,763
Arizona,Coconino,0,% change,4005.0,771
Arizona,Gila,0,% change,4007.0,787
Arizona,Graham,0,% change,4009.0,0
Arizona,Greenlee,0,% change,4011.0,1
Arizona,La Paz,0,% change,4012.0,3
Arizona,Maricopa,0,% change,4013.0,9
Arizona,Mohave,0,% change,4015.0,15
Arizona,Navajo,-56.126482213438734,% change,4017.0,17
Arizona,Pima,0,% change,4019.0,21
Arizona,Pinal,0,% change,4021.0,26
Arizona,Santa Cruz,0,% change,4023.0,32
Arizona,Yavapai,0,% change,4025.0,35
Arizona,Yuma,6.129807692307692,% change,4027.0,42
Arkansas,Arkansas,0,% change,5001.0,46
Arkansas,Ashley,-24.22145328719723,% change,5003.0,50
Arkansas,Baxter,0,% change,5005.0,54
Arkansas,Benton,114.28571428571428,% change,5007.0,59
Arkansas,Boone,0,% change,5009.0,62
Arkansas,Bradley,0,% change,5011.0,68
Arkansas,Calhoun,0,% change,5013.0,72
Arkansas,Carroll,-44.11764705882353,% change,5015.0,74
Arkansas,Chicot,0,% change,5017.0,77
Arkansas,Clark,0,% change,5019.0,86
Arkansas,Clay,0,% change,5021.0,93
Arkansas,Cleburne,0,% change,5023.0,97
Arkansas,Cleveland,0,% change,5025.0,103
Arkansas,Columbia,0,% change,5027.0,107
Arkansas,Conway,-66.66666666666666,% change,5029.0,109
Arkansas,Craighead,-65.14285714285715,% change,5031.0,114
Arkansas,Crawford,0,% change,5033.0,115
Arkansas,Crittenden,0,% change,5035.0,119
Arkansas,Cross,0,% change,5037.0,124
Arkansas,Dallas,0,% change,5039.0,128
Arkansas,Desha,0,% change,5041.0,130
Arkansas,Drew,-25.806451612903224,% change,5043.0,136
Arkansas,Faulkner,0,% change,5045.0,141
Arkansas,Franklin,0,% change,5047.0,144
Arkansas,Fulton,0,% change,5049.0,146
Arkansas,Garland,0,% change,5051.0,151
Arkansas,Grant,0,% change,5053.0,155
Arkansas,Greene,0,% change,5055.0,162
Arkansas,Hempstead,-30.37974683544304,% change,5057.0,172
Arkansas,Hot Spring,0,% change,5059.0,184
Arkansas,Howard,0,% change,5061.0,191
Arkansas,Independence,466.6666666666667,% change,5063.0,200
Arkansas,Izard,31.818181818181817,% change,5065.0,203
Arkansas,Jackson,0,% change,5067.0,209
Arkansas,Jefferson,-56.81818181818182,% change,5069.0,213
Arkansas,Johnson,0,% change,5071.0,218
Arkansas,Lafayette,0,% change,5073.0,222
Arkansas,Lawrence,0,% change,5075.0,230
Arkansas,Lee,0,% change,5077.0,237
Arkansas,Lincoln,0,% change,5079.0,244
Arkansas,Little River,0,% change,5081.0,251
Arkansas,Logan,-50.0,% change,5083.0,258
Arkansas,Lonoke,0,% change,5085.0,268
Arkansas,Madison,33.33333333333333,% change,5087.0,277
Arkansas,Marion,0,% change,5089.0,282
Arkansas,Miller,0,% change,5091.0,287
Arkansas,Mississippi,69.23076923076923,% change,5093.0,294
Arkansas,Monroe,0,% change,5095.0,300
Arkansas,Montgomery,0,% change,5097.0,304
Arkansas,Nevada,0,% change,5099.0,307
Arkansas,Newton,-33.33333333333333,% change,5101.0,311
Arkansas,Ouachita,0,% change,5103.0,316
Arkansas,Perry,0,% change,5105.0,318
Arkansas,Phillips,0.0,% change,5107.0,322
Arkansas,Pike,0,% change,5109.0,327
Arkansas,Poinsett,-85.0,% change,5111.0,333
Arkansas,Polk,0,% change,5113.0,337
Arkansas,Pope,0,% change,5115.0,340
Arkansas,Prairie,0,% change,5117.0,345
Arkansas,Pulaski,0,% change,5119.0,350
Arkansas,Randolph,-83.6734693877551,% change,5121.0,353
Arkansas,St. Francis,0,% change,5123.0,357
Arkansas,Saline,-76.05633802816901,% change,5125.0,360
Arkansas,Scott,-100.0,% change,5127.0,364
Arkansas,Searcy,0,% change,5129.0,372
Arkansas,Sebastian,0,% change,5131.0,378
Arkansas,Sevier,-100.0,% change,5133.0,390
Arkansas,Sharp,-26.865671641791046,% change,5135.0,394
Arkansas,Stone,0,% change,5137.0,399
Arkansas,Union,0,% change,5139.0,403
Arkansas,Van Buren,0,% change,5141.0,407
Arkansas,Washington,0,% change,5143.0,417
Arkansas,White,0,% change,5145.0,428
Arkansas,Woodruff,0,% change,5147.0,435
Arkansas,Yell,0,% change,5149.0,438
California,Alameda,0,% change,6001.0,457
California,Alpine,0,% change,6003.0,461
California,Amador,450.0,% change,6005.0,472
California,Butte,0,% change,6007.0,486
California,Calaveras,0,% change,6009.0,489
California,Colusa,19.112383679312813,% change,6011.0,497
California,Contra Costa,0,% change,6013.0,503
California,Del Norte,671.4285714285714,% change,6015.0,511
California,El Dorado,140.9090909090909,% change,6017.0,522
California,Fresno,-10.113089118554191,% change,6019.0,527
California,Glenn,0,% change,6021.0,537
California,Humboldt,119.18819188191883,% change,6023.0,551
California,Imperial,40.74955542779211,% change,6025.0,557
California,Inyo,0,% change,6027.0,562
California,Kern,-5.267299309129251,% change,6029.0,84
California,Kings,24.04384328358209,% change,6031.0,94
California,Lake,0,% change,6033.0,100
California,Lassen,0,% change,6035.0,104
California,Los Angeles,0,% change,6037.0,139
California,Madera,0,% change,6039.0,153
California,Marin,-13.488372093023257,% change,6041.0,168
California,Mariposa,0,% change,6043.0,178
California,Mendocino,30.980392156862745,% change,6045.0,190
California,Merced,31.001862741517222,% change,6047.0,204
California,Modoc,17.744610281923716,% change,6049.0,207
California,Mono,0,% change,6051.0,214
California,Monterey,0.1883605342147796,% change,6053.0,228
California,Napa,141.3793103448276,% change,6055.0,236
California,Nevada,232.25806451612905,% change,6057.0,243
California,Orange,0,% change,6059.0,257
California,Placer,30.57851239669421,% change,6061.0,266
California,Plumas,225.0,% change,6063.0,275
California,Riverside,34.271642356506916,% change,6065.0,281
California,Sacramento,-30.576006929406667,% change,6067.0,289
California,San Benito,-63.05267702936097,% change,6069.0,295
California,San Bernardino,-76.10969091331629,% change,6071.0,302
California,San Diego,0,% change,6073.0,315
California,San Francisco,0,% change,6075.0,331
California,San Joaquin,-15.20248490886714,% change,6077.0,339
California,San Luis Obispo,-17.238777819690682,% change,6079.0,351
California,San Mateo,0,% change,6081.0,368
California,Santa Barbara,-5.213293168788262,% change,6083.0,391
California,Santa Clara,-14.797370228633108,% change,6085.0,406
California,Santa Cruz,8.29796668144676,% change,6087.0,415
California,Shasta,0,% change,6089.0,431
California,Sierra,0,% change,6091.0,439
California,Siskiyou,44.361888111888106,% change,6093.0,446
California,Solano,19.662921348314608,% change,6095.0,453
California,Sonoma,0,% change,6097.0,463
California,Stanislaus,-5.58388260166646,% change,6099.0,473
California,Sutter,-50.399573787959504,% change,6101.0,483
California,Tehama,32.20338983050847,% change,6103.0,492
California,Trinity,147.82608695652172,% change,6105.0,500
California,Tulare,-0.2257336343115124,% change,6107.0,501
California,Tuolumne,0,% change,6109.0,513
California,Ventura,-7.926230514299743,% change,6111.0,521
California,Yolo,-12.842923039572712,% change,6113.0,525
California,Yuba,-16.27906976744186,% change,6115.0,541
Colorado,Adams,0,% change,8001.0,545
Colorado,Alamosa,0,% change,8003.0,549
Colorado,Arapahoe,0,% change,8005.0,558
Colorado,Archuleta,0,% change,8007.0,560
Colorado,Baca,0,% change,8009.0,563
Colorado,Bent,0,% change,8011.0,564
Colorado,Boulder,53.84615384615385,% change,8013.0,570
Colorado,Broomfield,0,% change,8014.0,577
Colorado,Chaffee,0,% change,8015.0,582
Colorado,Cheyenne,0,% change,8017.0,587
Colorado,Clear Creek,0,% change,8019.0,591
Colorado,Conejos,0,% change,8021.0,596
Colorado,Costilla,0,% change,8023.0,599
Colorado,Crowley,0,% change,8025.0,605
Colorado,Custer,0,% change,8027.0,610
Colorado,Delta,0,% change,8029.0,617
Colorado,Denver,0,% change,8031.0,628
Colorado,Dolores,0,% change,8033.0,636
Colorado,Douglas,27.27272727272727,% change,8035.0,644
Colorado,Eagle,0,% change,8037.0,648
Colorado,Elbert,0,% change,8039.0,655
Colorado,El Paso,-34.61538461538461,% change,8041.0,661
Colorado,Fremont,0,% change,8043.0,664
Colorado,Garfield,-25.0,% change,8045.0,667
Colorado,Gilpin,0,% change,8047.0,672
Colorado,Grand,0,% change,8049.0,677
Colorado,Gunnison,0,% change,8051.0,682
Colorado,Hinsdale,0,% change,8053.0,688
Colorado,Huerfano,0,% change,8055.0,693
Colorado,Jackson,0,% change,8057.0,701
Colorado,Jefferson,0,% change,8059.0,706
Colorado,Kiowa,0,% change,8061.0,711
Colorado,Kit Carson,0,% change,8063.0,716
Colorado,Lake,0,% change,8065.0,721
Colorado,La Plata,-4.761904761904762,% change,8067.0,727
Colorado,Larimer,-58.154959300572806,% change,8069.0,734
Colorado,Las Animas,0,% change,8071.0,741
Colorado,Lincoln,0,% change,8073.0,747
Colorado,Logan,-64.28571428571429,% change,8075.0,749
Colorado,Mesa,-30.64312736443884,% change,8077.0,751
Colorado,Mineral,0,% change,8079.0,757
Colorado,Moffat,0,% change,8081.0,758
Colorado,Montezuma,0,% change,8083.0,766
Colorado,Montrose,0,% change,8085.0,769
Colorado,Morgan,0,% change,8087.0,775
Colorado,Otero,0,% change,8089.0,777
Colorado,Ouray,-33.33333333333333,% change,8091.0,780
Colorado,Park,0,% change,8093.0,782
Colorado,Phillips,0,% change,8095.0,785
Colorado,Pitkin,0,% change,8097.0,789
Colorado,Prowers,0,% change,8099.0,792
Colorado,Pueblo,0,% change,8101.0,795
Colorado,Rio Blanco,0,% change,8103.0,799
Colorado,Rio Grande,0,% change,8105.0,802
Colorado,Routt,0,% change,8107.0,809
Colorado,Saguache,0,% change,8109.0,811
Colorado,San Juan,0,% change,8111.0,347
Colorado,San Miguel,-25.0,% change,8113.0,359
Colorado,Sedgwick,0,% change,8115.0,366
Colorado,Summit,0,% change,8117.0,373
Colorado,Teller,0,% change,8119.0,375
Colorado,Washington,0,% change,8121.0,377
Colorado,Weld,-24.02647975077882,% change,8123.0,382
Colorado,Yuma,0,% change,8125.0,385
Connecticut,Fairfield,0,% change,9001.0,410
Connecticut,Hartford,-13.22665586388495,% change,9003.0,432
Connecticut,Litchfield,-20.0,% change,9005.0,443
Connecticut,Middlesex,0,% change,9007.0,450
Connecticut,New Haven,-4.860699466508596,% change,9009.0,466
Connecticut,New London,0,% change,9011.0,517
Connecticut,Tolland,-7.772511848341232,% change,9013.0,524
Connecticut,Windham,0,% change,9015.0,529
Delaware,Kent,-15.192376842862279,% change,10001.0,532
Delaware,New Castle,-41.02079395085066,% change,10003.0,536
Delaware,Sussex,-13.158871566443949,% change,10005.0,609
District of Columbia,District of Columbia,0,% change,11001.0,630
Florida,Alachua,0,% change,12001.0,639
Florida,Baker,0,% change,12003.0,641
Florida,Bay,-78.94736842105263,% change,12005.0,658
Florida,Bradford,-60.752688172043015,% change,12007.0,665
Florida,Brevard,0,% change,12009.0,686
Florida,Broward,0,% change,12011.0,695
Florida,Calhoun,0,% change,12013.0,699
Florida,Charlotte,12.190352020860495,% change,12015.0,743
Florida,Citrus,0,% change,12017.0,843
Florida,Clay,0,% change,12019.0,852
Florida,Collier,0,% change,12021.0,894
Florida,Columbia,-31.73076923076923,% change,12023.0,903
Florida,DeSoto,0,% change,12027.0,906
Florida,Dixie,0,% change,12029.0,918
Florida,Duval,0,% change,12031.0,924
Florida,Escambia,207.37704918032787,% change,12033.0,931
Florida,Flagler,0,% change,12035.0,935
Florida,Franklin,0,% change,12037.0,937
Florida,Gadsden,-44.165054803352675,% change,12039.0,938
Florida,Gilchrist,0,% change,12041.0,939
Florida,Glades,0,% change,12043.0,940
Florida,Gulf,0,% change,12045.0,941
Florida,Hamilton,0,% change,12047.0,942
Florida,Hardee,0,% change,12049.0,943
Florida,Hendry,0,% change,12051.0,944
Florida,Hernando,0,% change,12053.0,945
Florida,Highlands,0,% change,12055.0,946
Florida,Hillsborough,0,% change,12057.0,947
Florida,Holmes,1.7699115044247788,% change,12059.0,948
Florida,Indian River,0,% change,12061.0,949
Florida,Jackson,0,% change,12063.0,950
Florida,Jefferson,0,% change,12065.0,951
Florida,Lafayette,0,% change,12067.0,952
Florida,Lake,0,% change,12069.0,953
Florida,Lee,0,% change,12071.0,954
Florida,Leon,0,% change,12073.0,955
Florida,Levy,0,% change,12075.0,956
Florida,Liberty,0,% change,12077.0,957
Florida,Madison,0,% change,12079.0,958
Florida,Manatee,6.068002740664611,% change,12081.0,959
Florida,Marion,0,% change,12083.0,960
Florida,Martin,0,% change,12085.0,961
Florida,Miami-Dade,-16.132651789053735,% change,12086.0,962
Florida,Monroe,0,% change,12087.0,963
Florida,Nassau,168.42105263157893,% change,12089.0,964
Florida,Okaloosa,0,% change,12091.0,965
Florida,Okeechobee,0,% change,12093.0,966
Florida,Orange,0,% change,12095.0,967
Florida,Osceola,0,% change,12097.0,968
Florida,Palm Beach,0,% change,12099.0,969
Florida,Pasco,-50.224215246636774,% change,12101.0,970
Florida,Pinellas,0,% change,12103.0,971
Florida,Polk,0,% change,12105.0,972
Florida,Putnam,152.73469387755102,% change,12107.0,973
Florida,St. Johns,53.745644599303134,% change,12109.0,974
Florida,St. Lucie,0,% change,12111.0,975
Florida,Santa Rosa,0,% change,12113.0,976
Florida,Sarasota,0,% change,12115.0,977
Florida,Seminole,-50.0,% change,12117.0,978
Florida,Sumter,0,% change,12119.0,979
Florida,Suwannee,0,% change,12121.0,980
Florida,Taylor,0,% change,12123.0,981
Florida,Union,-52.690582959641254,% change,12125.0,982
Florida,Volusia,0,% change,12127.0,983
Florida,Wakulla,0,% change,12129.0,984
Florida,Walton,0,% change,12131.0,985
Florida,Washington,0,% change,12133.0,986
Georgia,Appling,-71.13702623906705,% change,13001.0,987
Georgia,Atkinson,0,% change,13003.0,988
Georgia,Bacon,0,% change,13005.0,989
Georgia,Baker,0,% change,13007.0,990
Georgia,Baldwin,0,% change,13009.0,991
Georgia,Banks,0,% change,13011.0,992
Georgia,Barrow,0,% change,13013.0,993
Georgia,Bartow,-26.666666666666668,% change,13015.0,994
Georgia,Ben Hill,0,% change,13017.0,995
Georgia,Berrien,0,% change,13019.0,996
Georgia,Bibb,0,% change,13021.0,997
Georgia,Bleckley,0,% change,13023.0,998
Georgia,Brantley,-66.66666666666666,% change,13025.0,999
Georgia,Brooks,-31.566011235955056,% change,13027.0,565
Georgia,Bryan,91.66666666666666,% change,13029.0,573
Georgia,Bulloch,-39.0,% change,13031.0,579
Georgia,Burke,-64.66666666666666,% change,13033.0,583
Georgia,Butts,0,% change,13035.0,588
Georgia,Calhoun,0,% change,13037.0,592
Georgia,Camden,0,% change,13039.0,603
Georgia,Candler,0,% change,13043.0,616
Georgia,Carroll,1933.3333333333333,% change,13045.0,620
Georgia,Catoosa,22.07792207792208,% change,13047.0,626
Georgia,Charlton,0,% change,13049.0,635
Georgia,Chatham,0,% change,13051.0,646
Georgia,Chattahoochee,0,% change,13053.0,656
Georgia,Chattooga,0,% change,13055.0,659
Georgia,Cherokee,0,% change,13057.0,662
Georgia,Clarke,-66.66666666666666,% change,13059.0,666
Georgia,Clay,0,% change,13061.0,670
Georgia,Clayton,0,% change,13063.0,673
Georgia,Clinch,0,% change,13065.0,676
Georgia,Cobb,25.0,% change,13067.0,680
Georgia,Coffee,0,% change,13069.0,684
Georgia,Colquitt,0,% change,13071.0,689
Georgia,Columbia,-38.88888888888889,% change,13073.0,692
Georgia,Cook,0,% change,13075.0,697
Georgia,Coweta,0,% change,13077.0,700
Georgia,Crawford,0,% change,13079.0,704
Georgia,Crisp,11.619853789919201,% change,13081.0,707
Georgia,Dade,0,% change,13083.0,708
Georgia,Dawson,0,% change,13085.0,713
Georgia,Decatur,0,% change,13087.0,714
Georgia,DeKalb,0,% change,13089.0,718
Georgia,Dodge,0,% change,13091.0,720
Georgia,Dooly,-82.7433628318584,% change,13093.0,724
Georgia,Dougherty,0,% change,13095.0,728
Georgia,Douglas,50.0,% change,13097.0,731
Georgia,Early,0,% change,13099.0,735
Georgia,Echols,0,% change,13101.0,737
Georgia,Effingham,0,% change,13103.0,742
Georgia,Elbert,61.53846153846154,% change,13105.0,746
Georgia,Emanuel,93.33333333333333,% change,13107.0,750
Georgia,Evans,0,% change,13109.0,754
Georgia,Fannin,0,% change,13111.0,755
Georgia,Fayette,0,% change,13113.0,760
Georgia,Floyd,304.16666666666663,% change,13115.0,764
Georgia,Forsyth,0,% change,13117.0,768
Georgia,Franklin,-27.906976744186046,% change,13119.0,772
Georgia,Fulton,2.564102564102564,% change,13121.0,779
Georgia,Gilmer,0,% change,13123.0,781
Georgia,Glascock,0,% change,13125.0,783
Georgia,Glynn,0,% change,13127.0,793
Georgia,Gordon,0,% change,13129.0,796
Georgia,Grady,5.5040871934604905,% change,13131.0,797
Georgia,Greene,0,% change,13133.0,800
Georgia,Gwinnett,40.0,% change,13135.0,804
Georgia,Habersham,0,% change,13137.0,806
Georgia,Hall,0,% change,13139.0,808
Georgia,Hancock,133.33333333333331,% change,13141.0,810
Georgia,Haralson,-45.83333333333333,% change,13143.0,813
Georgia,Harris,37.5,% change,13145.0,814
Georgia,Hart,106.12244897959184,% change,13147.0,816
Georgia,Heard,-15.0,% change,13149.0,817
Georgia,Henry,0,% change,13151.0,820
Georgia,Houston,0,% change,13153.0,823
Georgia,Irwin,-6.302521008403361,% change,13155.0,825
Georgia,Jackson,-56.8,% change,13157.0,828
Georgia,Jasper,-83.87096774193549,% change,13159.0,830
Georgia,Jeff Davis,0,% change,13161.0,832
Georgia,Jefferson,0,% change,13163.0,834
Georgia,Jenkins,0,% change,13165.0,835
Georgia,Johnson,-78.57142857142857,% change,13167.0,837
Georgia,Jones,0,% change,13169.0,839
Georgia,Lamar,0,% change,13171.0,841
Georgia,Lanier,-86.95652173913044,% change,13173.0,845
Georgia,Laurens,-40.27777777777778,% change,13175.0,847
Georgia,Lee,0,% change,13177.0,849
Georgia,Liberty,0,% change,13179.0,855
Georgia,Lincoln,0,% change,13181.0,857
Georgia,Long,0,% change,13183.0,860
Georgia,Lowndes,-61.60049627791563,% change,13185.0,863
Georgia,Lumpkin,0,% change,13187.0,865
Georgia,McDuffie,-69.56521739130434,% change,13189.0,868
Georgia,McIntosh,0,% change,13191.0,871
Georgia,Macon,0,% change,13193.0,874
Georgia,Madison,-31.818181818181817,% change,13195.0,875
Georgia,Marion,-42.52100840336134,% change,13197.0,877
Georgia,Meriwether,-81.48148148148148,% change,13199.0,879
Georgia,Miller,0,% change,13201.0,881
Georgia,Mitchell,0,% change,13205.0,883
Georgia,Monroe,0,% change,13207.0,885
Georgia,Montgomery,0,% change,13209.0,887
Georgia,Morgan,100.0,% change,13211.0,890
Georgia,Murray,-53.271028037383175,% change,13213.0,892
Georgia,Muscogee,0,% change,13215.0,896
Georgia,Newton,168.42105263157893,% change,13217.0,899
Georgia,Oconee,0,% change,13219.0,901
Georgia,Oglethorpe,216.66666666666666,% change,13221.0,905
Georgia,Paulding,0,% change,13223.0,908
Georgia,Peach,0,% change,13225.0,910
Georgia,Pickens,59.375,% change,13227.0,912
Georgia,Pierce,0,% change,13229.0,915
Georgia,Pike,-31.428571428571427,% change,13231.0,7
Georgia,Polk,-45.45454545454545,% change,13233.0,8
Georgia,Pulaski,0,% change,13235.0,11
Georgia,Putnam,0,% change,13237.0,13
Georgia,Quitman,0,% change,13239.0,16
Georgia,Rabun,0,% change,13241.0,18
Georgia,Randolph,0,% change,13243.0,23
Georgia,Richmond,-50.0,% change,13245.0,24
Georgia,Rockdale,0,% change,13247.0,28
Georgia,Schley,0,% change,13249.0,31
Georgia,Screven,0,% change,13251.0,34
Georgia,Seminole,0,% change,13253.0,38
Georgia,Spalding,0,% change,13255.0,41
Georgia,Stephens,0,% change,13257.0,45
Georgia,Stewart,0,% change,13259.0,48
Georgia,Sumter,0,% change,13261.0,52
Georgia,Talbot,0,% change,13263.0,57
Georgia,Taliaferro,0,% change,13265.0,60
Georgia,Tattnall,0,% change,13267.0,63
Georgia,Taylor,-90.0,% change,13269.0,69
Georgia,Telfair,-91.72154280338664,% change,13271.0,75
Georgia,Terrell,0,% change,13273.0,78
Georgia,Thomas,0,% change,13275.0,83
Georgia,Tift,0,% change,13277.0,87
Georgia,Toombs,0,% change,13279.0,91
Georgia,Towns,0,% change,13281.0,95
Georgia,Treutlen,0,% change,13283.0,102
Georgia,Troup,0,% change,13285.0,105
Georgia,Turner,-16.071428571428573,% change,13287.0,108
Georgia,Twiggs,750.0,% change,13289.0,116
Georgia,Union,0,% change,13291.0,120
Georgia,Upson,0,% change,13293.0,123
Georgia,Walker,-55.319148936170215,% change,13295.0,126
Georgia,Walton,152.5,% change,13297.0,127
Georgia,Ware,0,% change,13299.0,132
Georgia,Warren,0,% change,13301.0,135
Georgia,Washington,100.0,% change,13303.0,143
Georgia,Wayne,0,% change,13305.0,147
Georgia,Webster,-60.56338028169014,% change,13307.0,149
Georgia,Wheeler,0,% change,13309.0,154
Georgia,White,0,% change,13311.0,157
Georgia,Whitfield,0,% change,13313.0,159
Georgia,Wilcox,0,% change,13315.0,163
Georgia,Wilkes,0,% change,13317.0,167
Georgia,Wilkinson,50.0,% change,13319.0,169
Georgia,Worth,0,% change,13321.0,173
Hawaii,Hawaii,44.77351916376306,% change,15001.0,198
